alpha,gamma,phi_wall,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,phi_MP,n_MP
7.333925000000000027e-01,1.695124700000000040e+00,2.779239299999999968e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.209620999999999835e+00,2.240400000000000030e-02
6.268831900000000346e+00,1.028804700000000016e+00,6.864052000000000486e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.186071000000000097e+00,1.724900000000000044e-01
4.866812900000000219e+00,6.737448000000000325e-01,2.565571999999999853e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.289911000000000030e+00,1.576809999999999878e-01
6.165250900000000200e+00,5.752768999999999799e-01,4.365507100000000307e+00,2.277352000000000043e+00,2.215915999999999997e+00,2.149958999999999953e+00,2.089977000000000196e+00,2.031607000000000163e+00,1.976401000000000074e+00,1.923866000000000076e+00,1.874036000000000035e+00,1.827266000000000057e+00,1.782853000000000021e+00,1.741584999999999939e+00,1.702328999999999981e+00,1.666125999999999996e+00,1.631774000000000058e+00,1.599917999999999951e+00,1.569898999999999933e+00,1.541884999999999950e+00,1.515628999999999893e+00,1.490955000000000030e+00,1.467931000000000097e+00,-2.003880999999999801e+00,1.313280000000000003e-01
4.151666699999999821e+00,1.897753500000000093e+00,6.050765499999999797e+00,3.939909999999999801e+00,3.698906000000000027e+00,3.425164999999999793e+00,3.173509999999999831e+00,2.936976000000000031e+00,2.720655999999999963e+00,2.529198000000000057e+00,2.360615999999999826e+00,2.215574999999999850e+00,2.091934000000000182e+00,1.985918999999999990e+00,1.896392999999999995e+00,1.819044000000000105e+00,1.752934999999999910e+00,1.694946000000000064e+00,1.644652999999999921e+00,1.600357999999999947e+00,1.560157999999999934e+00,1.524593000000000087e+00,1.492372999999999950e+00,-2.320000999999999980e+00,9.733899999999999497e-02
4.136794599999999988e+00,2.654517900000000097e+00,5.896055800000000069e+00,4.686628999999999934e+00,4.295999000000000123e+00,3.870347999999999900e+00,3.474131999999999998e+00,3.115479999999999805e+00,2.802827999999999875e+00,2.539508000000000099e+00,2.322595000000000187e+00,2.145395999999999859e+00,2.001262000000000096e+00,1.883512000000000075e+00,1.786624999999999908e+00,1.706193000000000071e+00,1.638212000000000002e+00,1.580195999999999934e+00,1.530156999999999989e+00,1.486235999999999891e+00,1.447386000000000061e+00,1.412698999999999927e+00,1.381494999999999918e+00,-2.317755000000000010e+00,9.739200000000000634e-02
1.265176000000000078e+00,3.916910600000000020e+00,6.294844699999999627e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.309558000000000000e+00,3.588999999999999829e-02
2.549095200000000006e+00,1.504616900000000035e+00,5.578968399999999939e+00,3.057459000000000149e+00,2.877329000000000025e+00,2.690876999999999963e+00,2.515614999999999934e+00,2.354007999999999878e+00,2.207536999999999860e+00,2.076767999999999947e+00,1.961597000000000035e+00,1.860640000000000072e+00,1.773010999999999893e+00,1.696887999999999952e+00,1.630929000000000073e+00,1.573215000000000030e+00,1.523298000000000041e+00,1.478574999999999973e+00,1.439910000000000023e+00,1.404746999999999968e+00,1.372897999999999952e+00,1.344343999999999983e+00,1.318327999999999944e+00,-2.705591000000000079e+00,6.536000000000000143e-02
6.214104100000000130e+00,1.095972100000000005e+00,6.048879999999999812e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.168350000000000000e+00,1.785299999999999943e-01
3.515310400000000168e+00,9.408168999999999560e-01,9.137511000000000383e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.449491000000000085e+00,1.308449999999999891e-01
1.394938900000000093e+00,2.754647199999999962e+00,8.687846000000000179e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.327719000000000094e+00,6.533400000000000318e-02
4.745595100000000066e+00,1.691191399999999900e+00,1.765595000000000026e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.685791000000000039e+00,1.053850000000000064e-01
6.238109599999999588e+00,4.938775000000000248e-01,7.187749099999999558e+00,3.340012000000000203e+00,3.285435000000000105e+00,3.225512999999999852e+00,3.168890000000000207e+00,3.112527000000000044e+00,3.056983999999999924e+00,3.002737999999999907e+00,2.948907000000000167e+00,2.896904000000000146e+00,2.845442999999999945e+00,2.795655000000000001e+00,2.746881999999999824e+00,2.699546999999999919e+00,2.653650999999999982e+00,2.609030000000000182e+00,2.567604000000000219e+00,2.525689999999999991e+00,2.485746999999999929e+00,2.447052999999999923e+00,2.410057999999999812e+00,-2.027625000000000011e+00,1.314440000000000053e-01
7.841219699999999904e+00,3.234639899999999901e+00,3.700139500000000137e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.739508000000000054e+00,1.679019999999999957e-01
3.255526999999999838e+00,1.807076099999999963e+00,1.388282000000000127e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.061437999999999882e+00,7.368600000000000150e-02
5.270695400000000141e+00,3.198459199999999836e+00,7.418967699999999610e+00,6.705487999999999893e+00,6.211567999999999756e+00,5.646490000000000009e+00,5.095766000000000240e+00,4.568494000000000277e+00,4.084393000000000384e+00,3.660743000000000080e+00,3.300755000000000106e+00,3.002574000000000076e+00,2.759329000000000143e+00,2.561720000000000219e+00,2.400638999999999967e+00,2.268053999999999792e+00,2.157294999999999963e+00,2.064060000000000006e+00,1.984358000000000066e+00,1.915645999999999960e+00,1.855615999999999932e+00,1.802361000000000102e+00,1.754936999999999969e+00,-2.147749000000000130e+00,1.164919999999999983e-01
